Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Michaela Abam\86a01c81,cm CMR,FW,Dash,23,1997,7,0,69,0.8,1,0,1,0,0,0,0,1.30,0.00,1.30,1.30,1.30,Matches
2,Lindsay Agnew\13a319fa,ca CAN,FW,Courage,25,1995,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Michelle Alozie\b03e80f6,ng NGA,FW,Dash,23,1997,4,0,117,1.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Angelina\49d6d4a8,br BRA,MFFW,Reign,21,2000,16,4,482,5.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Chinyelu Asher\b859a598,jm JAM,DF,Spirit,27,1993,2,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Julia Ashley\d9bb5833,us USA,DF,Louisville,24,1996,15,6,654,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Taylor Aylmer\9768ff7b,,MF,Spirit,,,7,1,245,2.7,1,1,1,0,0,1,0,0.37,0.37,0.73,0.37,0.73,Matches
8,Dorian Bailey\1b15d6a3,us USA,MF,Spirit,24,1997,20,16,1489,16.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Rylee Baisden\54f9201c,us USA,FW,Courage,26,1994,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Bethany Balcer\0d502444,us USA,FW,Reign,23,1997,23,13,1185,13.2,9,0,9,0,0,3,0,0.68,0.00,0.68,0.68,0.68,Matches
11,Elizabeth Ball\eea3655d,us USA,DF,Kansas City,25,1995,16,16,1361,15.1,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches
12,Karen Bardsley\7c903a2d,eng ENG,GK,Reign,36,1984,3,3,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Lauren Barnes\380c9205,us USA,DF,Reign,31,1989,21,20,1788,19.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Nicole Barnhart\ad0f455b,us USA,GK,Kansas City,39,1981,6,5,461,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Jorian Baucom\eae2b0a1,us USA,FW,Louisville,24,1996,12,3,402,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Hannah Betfort\130c8e6e,us USA,DF,Thorns,21,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Michelle Betos\9e11e21d,us USA,GK,Louisville,32,1988,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Camryn Biegalski\76828205,us USA,DF,Spirit,22,1998,9,2,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Bella Bixby\73eb19a8,us USA,GK,Thorns,25,1995,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Deneisha Blackwood\930d5a13,jm JAM,DF,Dash,23,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Aubrey Bledsoe\020eaa4d,us USA,GK,Spirit,29,1991,22,22,1980,22.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Gemma Bonner\488a84df,eng ENG,DF,Louisville,29,1991,13,13,1155,12.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Sarah Bouhaddi\a6a9dbe0,fr FRA,GK,Reign,34,1986,19,19,1687,18.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
24,Celeste Boureille\9fb7f4cb,us USA,MF,Thorns,26,1994,12,7,650,7.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Katie Bowen\aae0d96d,nz NZL,MFDF,Kansas City,26,1994,17,14,1193,13.3,0,2,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches
26,Emily Boyd\a08ec16b,us USA,GK,Red Stars,24,1996,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Amber Brooks\f9f76078,us USA,DF,Reign,30,1991,11,2,328,3.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Diane Caldwell\b4a17233,ie IRL,DF,Courage,32,1988,7,7,602,6.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Jane Campbell\c40fd1ac,us USA,GK,Dash,25,1995,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Allysha Chapman\afcbf4d8,ca CAN,DF,Dash,32,1989,16,16,1407,15.6,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
31,Simone Charley\78400c25,us USA,FW,Thorns,25,1995,19,11,957,10.6,5,0,5,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches
32,Danielle Colaprico\24478b0c,us USA,MF,Red Stars,27,1993,15,9,890,9.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
33,Alana Cook\7ca7c385,us USA,DF,Reign,23,1997,19,19,1710,19.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Rachel Corsie\49fd636f,sct SCO,DF,Kansas City,31,1989,18,17,1441,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Stephanie Cox\88032c64,us USA,DF,Reign,34,1986,3,1,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Shirley Cruz\69a5c1ae,cr CRC,MF,Reign,35,1985,12,5,429,4.8,2,0,2,0,0,2,0,0.42,0.00,0.42,0.42,0.42,Matches
37,Jennifer Cudjoe\e9bd1db2,gh GHA,MF,Gotham FC,26,1994,14,9,812,9.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Abby Dahlkemper\52b58405,us USA,DF,Dash,27,1993,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Rachel Daly\7fa35ec9,eng ENG,FW,Dash,29,1991,15,15,1350,15.0,9,0,8,1,1,3,0,0.60,0.00,0.60,0.53,0.53,Matches
40,Tierna Davidson\543614ff,us USA,DF,Red Stars,22,1998,17,17,1485,16.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Debinha\85cea0cf,br BRA,MF,Courage,29,1991,18,18,1530,17.0,3,2,3,0,0,0,0,0.18,0.12,0.29,0.18,0.29,Matches
42,Schuyler DeBree\f0aeff93,us USA,FW,Courage,24,1996,2,0,14,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Ella Dederick\b6e16071,us USA,GK,Reign,24,1996,3,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Kate Del Fava\8cfb97f5,us USA,DFFW,Kansas City,22,1998,9,3,397,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Amanda Dennis\6071b9cc,us USA,GK,Dash,22,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
